signal_id,captured_at,platform,source_type,source_url,topic,summary_th,people_involved_type,harm_level,verification_status,virality_evidence,engagement_snapshot,trend_age_hours,demand_window,audience_need,candidate_product_category,candidate_query,ethics_color,policy_risk,claim_risk,human_review_required,product_mapping_status,notes_th
tmd-heavy-rain-commute-20260604,2026-06-04T16:12:41+07:00,tmd,official_weather,https://tmd.go.th/weather/weatherthailand,heavy rain commute protection,กรมอุตุนิยมวิทยาประกาศวันนี้ว่ากรุงเทพฯ และปริมณฑลมีฝนฟ้าคะนองร้อยละ 60 ของพื้นที่และมีฝนตกหนักบางแห่ง ขณะที่ประเทศตอนบนมีฝนเพิ่มขึ้น,none,low,primary_confirmed,official forecast with Bangkok thunderstorm risk,,0,24-72h,กันเปียกตอนเดินทาง/พกร่มหรือ rain cover ก่อนออกจากบ้าน,backpack_rain_cover,site:shopee.co.th rain cover กระเป๋าเป้กันฝน,green,low,low,no,need_identified,ใช้เป็น repeat weather reinforcement ไม่ใช้ภาพน้ำท่วม
shopee-rain-cover-impulse-20260604,2026-06-04T16:12:41+07:00,shopee,ecommerce,https://shopee.co.th/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%89-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99-%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%9D%E0%B8%99-%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B9%80%E0%B8%9B%E0%B9%89-%E0%B9%80%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%9B%E0%B9%88%E0%B8%B2-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%AB%E0%B8%99%E0%B8%B2-Rain-cover-Rainproof-Backpack-Cover-i.967451259.21389136477,market price signal for rain cover backpack,Shopee search result shows rain cover for backpacks and school bags priced at 29 baht,none,low,primary_confirmed,public listing with impulse price and school/commute use,,0,3-30d,กันเปียกของสำคัญในราคาต่ำสำหรับคนเดินทางและผู้ปกครอง,backpack_rain_cover,site:shopee.co.th ถุงคลุมกระเป๋า กันฝน,green,low,low,no,need_identified,product signal only; keep claim language to 'ช่วยลดโอกาสเปียก'
thaipbs-pride-bangkok-20260604,2026-06-04T16:12:41+07:00,thaipbs,news_event,https://www.thaipbs.or.th/PrideMonth2026,pride month event comfort,"Thai PBS continues to feature Bangkok Pride 2026 and Pride Month 2026 in today’s Pride hub, keeping June event-comfort demand visible",community_event,low,source_seen,Thai PBS PrideMonth hub and Bangkok Pride 2026 coverage are active today,,0,7-30d,คนไปงานกลางแจ้งต้องพกของเบา ถ่ายคอนเทนต์ง่าย และรับมืออากาศร้อนฝน,portable_fan_clear_sling,site:shopee.co.th พัดลมพกพา กระเป๋าใส clear bag event,amber,medium,low,yes,needs_human_review,respectful event-comfort angle only; no identity gimmick or likeness
theactive-heavy-rain-20260603,2026-06-04T16:41:24+07:00,theactive,news_weather,https://theactive.thaipbs.or.th/news/climate-change-20260603,heavy rain 4-6 June and flood risk,The Active รายงานเตือน 4-6 มิ.ย. รับมือฝนตกหนัก เสี่ยงท่วมฉับพลันและน้ำป่าหลาก จับตาฝนทะลุ 100 มม. ใช้เป็นสัญญาณเสริมมุมกันเปียกของคนเดินทาง,none,low,source_seen,headline coverage on public weather warning,,24,24-72h,กันเปียกตอนเดินทางก่อนออกจากบ้าน,backpack_rain_cover,site:shopee.co.th rain cover กระเป๋าเป้กันฝน,green,low,low,no,need_identified,repeat weather reinforcement; do not use flood imagery
shopee-rain-cover-budget-20260604,2026-06-04T16:41:24+07:00,shopee,ecommerce,https://shopee.co.th/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%89-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99-%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%9D%E0%B8%99-%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B9%80%E0%B8%9B%E0%B9%89-%E0%B9%80%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%9B%E0%B9%88%E0%B8%B2-Rain-cover-Rainproof-Backpack-Cover-i.967451259.21079985301,budget rain cover for backpack and school bag,"Shopee search result shows another rain cover listing for backpacks and school bags priced at 12 baht, reinforcing the impulse-buy floor for commute/school use",none,low,primary_confirmed,public listing with impulse price and school/commute use,search result snippet,0,3-30d,กันเปียกของสำคัญในราคาต่ำสำหรับคนเดินทางและผู้ปกครอง,backpack_rain_cover,site:shopee.co.th ถุงคลุมกระเป๋า กันฝน,green,low,low,no,need_identified,product signal only; keep claim language to 'ช่วยลดโอกาสเปียก'
tmd-southwest-coast-heavy-rain-20260604,2026-06-04T17:40:09+07:00,tmd,official_weather,https://www.tmd.go.th/en/warning-and-events/warning-storm/heavy-to-very-heavy-rains-in-thailand-strong-wind-waves-in-the-andaman-sea-no-11-89-2026,south-west coast heavy rain travel prep,TMD เตือนฝนต่อเนื่องและฝนตกหนักถึงหนักมากบางแห่งในภาคใต้ฝั่งตะวันตก ทำให้มุมแพ็กของแห้งสำหรับทริปหน้าฝนยังสด,none,low,primary_confirmed,official warning remains live today,,72,3-7d,เก็บของสำคัญให้แห้งเวลาเดินทางหน้าฝน,dry_bag_waterproof_packing,site:shopee.co.th dry bag waterproof กระเป๋ากันน้ำ ท่องเที่ยว,amber,medium,low,yes,needs_human_review,ใช้มุม travel prep เท่านั้น ห้าม fearmonger หรือใช้ภาพภัยพิบัติ
shopee-phone-waterproof-pouch-20260604,2026-06-04T19:41:32+07:00,shopee,ecommerce,https://shopee.co.th/list/%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%82%E0%B8%97%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%9E%E0%B8%97%E0%B9%8C/%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3,phone waterproof pouch for rainy commute,"Shopee search results still show waterproof phone pouch options around ฿11-13 with touch-screen and rain-use positioning, keeping commuter phone protection relevant",none,low,primary_confirmed,live Shopee search snippets with low-price floor,search result snippet,0,24-72h,กันมือถือให้ยังใช้ได้ระหว่างฝนและการเดินทาง,phone_waterproof_pouch,site:shopee.co.th ซองใส่โทรศัพท์กันน้ำ,green,low,low,no,need_identified,ใช้คำว่าช่วยปกป้อง/ช่วยกันละอองฝน ไม่เคลมกันน้ำ 100% หรือดำน้ำลึก
shopee-phone-waterproof-pouch-category-20260604,2026-06-04T20:41:28+07:00,shopee,ecommerce,https://shopee.co.th/%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B9%82%E0%B8%97%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%9E%E0%B8%97%E0%B9%8C/%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3,phone waterproof pouch category page with low-price floor,"Shopee category/list page still shows waterproof phone pouch options around ฿1-97 and a sold-20k item, reinforcing commuter phone protection as an impulse-buy need",none,low,primary_confirmed,live category page and low-price floor,search result snippet,0,24-72h,กันมือถือให้ยังใช้ได้ระหว่างฝนและการเดินทาง,phone_waterproof_pouch,site:shopee.co.th ซองใส่โทรศัพท์กันน้ำ,green,low,low,no,need_identified,ใช้คำว่าช่วยปกป้อง/ช่วยกันละอองฝน ไม่เคลมกันน้ำ 100% หรือดำน้ำลึก
shopee-rain-cover-brand-20260604,2026-06-04T21:03:10+07:00,shopee,ecommerce,https://shopee.co.th/K%C3%A5nken-Rain-Cover-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2-%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2-%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%9D%E0%B8%99-%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3-i.135031598.23031849788,backpack rain cover with branded listing still live today,"Shopee search result today shows a branded rain-cover listing plus other backpack rain-cover options, reinforcing the commuter rain-protection need on the same public marketplace",none,low,primary_confirmed,today-crawled Shopee result and active listing,search result snippet,0,24-72h,กันเปียกของสำคัญก่อนเดินทาง,backpack_rain_cover,site:shopee.co.th ถุงคลุมกระเป๋า กันฝน,green,low,low,no,need_identified,brand-specific listing but same generic commuter rain-cover need
shopee-rhodey-rain-cover-20260604,2026-06-04T23:05:13+07:00,shopee,ecommerce,https://shopee.co.th/Rhodey-Rain-Cover-Waterproof-Backpack-30-40L-%E0%B8%AA%E0%B8%B5%E0%B8%94%E0%B9%8D%E0%B8%B2-OMBG37BK-i.1749295914.51906187149,branded rain cover for 30-40L backpacks,"Shopee search results show a Rhodey rain-cover listing for 30-40L backpacks at an impulse-friendly price, reinforcing the commuter backpack-protection need",none,low,primary_confirmed,public listing plus commuter use,search result snippet,0,24-72h,กันเปียกของสำคัญก่อนเดินทาง,backpack_rain_cover,site:shopee.co.th rain cover กระเป๋าเป้กันฝน,green,low,low,no,need_identified,brand-specific listing but same generic commuter rain-cover need
shopee-waterproof-phone-pouch-generic-20260604,2026-06-04T23:05:13+07:00,shopee,ecommerce,https://shopee.co.th/%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B9%82%E0%B8%97%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%9E%E0%B8%97%E0%B9%8C%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%28Waterproof-Phone-Pouch%29-i.7209540.48807514493,generic waterproof phone pouch listing crawled today,"Shopee search result crawled today shows a generic waterproof phone pouch listing, keeping commuter phone protection live and price-sensitive",none,low,primary_confirmed,today-crawled public listing,search result snippet,0,24-72h,กันมือถือให้ยังใช้ได้ระหว่างฝนและการเดินทาง,phone_waterproof_pouch,site:shopee.co.th ซองใส่โทรศัพท์กันน้ำ,green,low,low,no,need_identified,ใช้คำว่าช่วยปกป้อง/ช่วยกันละอองฝน ไม่เคลมกันน้ำ 100% หรือดำน้ำลึก
shopee-phone-waterproof-pouch-budget-20260605,2026-06-05T00:03:13+07:00,shopee,ecommerce,https://shopee.co.th/-%E0%B8%A5%E0%B8%94%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B7%E0%B8%AD-99-Waterproof-Phone-Pouch-%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3-%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%97%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%9E%E0%B9%8C-%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%81-3-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%96%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%AA%E0%B9%81%E0%B8%81%E0%B8%99%E0%B9%83%E0%B8%9A%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-i.1003025970.25543882447,waterproof phone pouch listing with visible 99 baht floor,"Shopee search result today shows a waterproof phone pouch with a visible 99 baht floor and phone-facing features like touch and face-scan use, strengthening commuter phone protection as a low-friction impulse buy",none,low,primary_confirmed,public listing with low-price floor and feature positioning,search result snippet,0,24-72h,กันมือถือให้ยังใช้ได้ระหว่างฝนและการเดินทาง,phone_waterproof_pouch,site:shopee.co.th ซองใส่โทรศัพท์กันน้ำ,green,low,low,no,need_identified,ใช้คำว่าช่วยปกป้อง/ช่วยกันละอองฝน ไม่เคลมกันน้ำ 100% หรือดำน้ำลึก
tmd-heavy-rain-commute-20260605,2026-06-05T03:05:58+07:00,tmd,official_weather,https://www.tmd.go.th/weather/weatherthailand,heavy rain commute protection,กรมอุตุนิยมวิทยาอัปเดตวันนี้ว่ากรุงเทพฯ และปริมณฑลยังมีฝนฟ้าคะนองร้อยละ 60 ของพื้นที่และมีฝนตกหนักบางแห่ง จังหวะกันเปียกของคนเดินทางยังสด,none,low,primary_confirmed,official forecast updated today,daily forecast bulletin,0,24-72h,กันเปียกตอนเดินทาง/พกร่มหรือ rain cover ก่อนออกจากบ้าน,backpack_rain_cover,site:shopee.co.th rain cover กระเป๋าเป้กันฝน,green,low,low,no,need_identified,ใช้เป็น fresh daily-forecast reinforcement สำหรับ commute protection
shopee-backpack-rain-cover-category-20260605,2026-06-05T03:05:58+07:00,shopee,ecommerce,https://shopee.co.th/list/%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%89%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1,backpack rain cover category floor,Shopee category crawl วันนี้ยังพบผ้าคลุมกระเป๋าเป้กันน้ำและชุดถุงฝนแบบพกพาราคาประหยัดราว 42 บาท ยืนยันว่ามี demand floor สำหรับ commuter rain protection,none,low,primary_confirmed,crawled today search snippet with active price floor,search result snippet,0,24-72h,กันเปียกของสำคัญก่อนเดินทาง,backpack_rain_cover,site:shopee.co.th rain cover กระเป๋าเป้กันฝน,green,low,low,no,need_identified,search snippet วันนี้ช่วยยืนยัน price floor และขนาด 20-70L สำหรับ commuter use
tmd-heavy-rain-overflow-shoe-cover-20260605,2026-06-05T13:02:22+07:00,nation/news_weather,news_weather,https://www.nationthailand.com/news/general/40067037,heavy rain overflow risk and wet-shoe commute protection,RID warns of heavy accumulated rain from June 4-10 with low-lying and foothill areas at flood risk; the fresh warning keeps rain-soaked commute pain visible for shoe protection,none,low,source_seen,news article published yesterday and crawled today,headline coverage,18,24-72h,กันรองเท้าเปียกและเดินต่อได้เมื่อฝนลงและมีน้ำขัง,shoe_cover,site:shopee.co.th shoe cover ถุงคลุมรองเท้ากันน้ำ,green,low,low,no,need_identified,ใช้มุมเตรียมตัวสำหรับพื้นเปียก/น้ำขังเท่านั้น ไม่ fearmonger เรื่องน้ำท่วม 2026-06-05 repeat official weather confirmation
shopee-shoe-cover-budget-20260605,2026-06-05T13:02:22+07:00,shopee,ecommerce,https://shopee.co.th/Shoe-cover-%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B9%89%E0%B8%B2-%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3-%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%9D%E0%B8%99-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A5%E0%B8%B7%E0%B9%88%E0%B8%99-%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B8%E0%B8%A2%E0%B8%B2%E0%B8%87%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%97%E0%B9%87%E0%B8%81%E0%B8%8B%E0%B9%8C-%E0%B8%A1%E0%B9%89%E0%B8%A7%E0%B8%99%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%9A%E0%B8%9E%E0%B8%81%E0%B8%9E%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B9%83%E0%B8%8A%E0%B9%89%E0%B8%8B%E0%B9%89%E0%B8%B3%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%AB%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B9%89%E0%B8%87-%E0%B8%AA%E0%B8%A7%E0%B8%A1%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B9%88%E0%B8%B2%E0%B8%A2-i.135486771.41868680628,shoe cover listing with low-price floor and reusable packable format,"Shopee listing shows 2 options at ฿19-฿21, active shop status, and a reusable latex-rubber shoe cover that is easy to pack for rainy commute use",none,low,primary_confirmed,live listing with active shop and impulse price floor,search result snippet,0,24-72h,กันรองเท้าเปียกและพกพาได้ง่ายสำหรับวันฝนหนัก,shoe_cover,site:shopee.co.th shoe cover ถุงคลุมรองเท้ากันน้ำ,green,low,low-medium,no,need_identified,ใช้คำว่าช่วยคลุมรองเท้า/ช่วยลดโอกาสรองเท้าเปียก; ไม่เคลมกันลื่น 100% หรือกันน้ำทุกสถานการณ์
