review_id,created_at,review_type,ethics_color,source_ref,signal_id,product_candidate_id,question_th,recommended_decision,decision,decided_at,decided_by,decision_notes_th
review-gt-th-บางจาก-คอร์ปอเรชั่น-aa76bca3,2026-06-05T18:02:25+07:00,social_trend_safety_review,amber,gt-th-บางจาก-คอร์ปอเรชั่น-aa76bca3,gt-th-บางจาก-คอร์ปอเรชั่น-aa76bca3,,ควรใช้ trend 'บางจาก คอร์ปอเรชั่น' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-th-scratch-ffdf8c66,2026-06-05T18:03:09+07:00,social_trend_safety_review,amber,gt-th-scratch-ffdf8c66,gt-th-scratch-ffdf8c66,,ควรใช้ trend 'scratch' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-th-หวยพัฒนา-85ee42cc,2026-06-05T18:03:09+07:00,social_trend_safety_review,amber,gt-th-หวยพัฒนา-85ee42cc,gt-th-หวยพัฒนา-85ee42cc,,ควรใช้ trend 'หวยพัฒนา' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-us-melanie-hyer-doral-5dc14684,2026-06-05T18:03:09+07:00,social_trend_safety_review,red,gt-us-melanie-hyer-doral-5dc14684,gt-us-melanie-hyer-doral-5dc14684,,ควรใช้ trend 'melanie hyer doral' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-us-sharon-stone-ex-husband-43e23940,2026-06-05T18:03:09+07:00,social_trend_safety_review,amber,gt-us-sharon-stone-ex-husband-43e23940,gt-us-sharon-stone-ex-husband-43e23940,,ควรใช้ trend 'sharon stone ex husband' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-us-peco-280bb3fd,2026-06-05T18:03:09+07:00,social_trend_safety_review,amber,gt-us-peco-280bb3fd,gt-us-peco-280bb3fd,,ควรใช้ trend 'peco' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-us-facebook-user-privacy-settlement-08e94a7a,2026-06-05T18:03:09+07:00,social_trend_safety_review,amber,gt-us-facebook-user-privacy-settlement-08e94a7a,gt-us-facebook-user-privacy-settlement-08e94a7a,,ควรใช้ trend 'facebook user privacy settlement' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-us-turks-and-caicos-b77218e6,2026-06-05T18:03:09+07:00,social_trend_safety_review,red,gt-us-turks-and-caicos-b77218e6,gt-us-turks-and-caicos-b77218e6,,ควรใช้ trend 'turks and caicos' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-us-matt-brown-cause-of-death-1e462251,2026-06-05T18:03:09+07:00,social_trend_safety_review,red,gt-us-matt-brown-cause-of-death-1e462251,gt-us-matt-brown-cause-of-death-1e462251,,ควรใช้ trend 'matt brown cause of death' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-us-wic-program-benefit-reduction-legislatio-3484612f,2026-06-05T18:03:09+07:00,social_trend_safety_review,amber,gt-us-wic-program-benefit-reduction-legislatio-3484612f,gt-us-wic-program-benefit-reduction-legislatio-3484612f,,ควรใช้ trend 'wic program benefit reduction legislation' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-source-access-google-trends-dns-20260605,2026-06-05T19:35:32+07:00,source_access_issue,amber,google_trends_rss_th,google_trends_rss_th,,ควรแก้ Google Trends RSS TH DNS access ก่อนรันใหม่หรือใช้ cached public feed หรือไม่?,fix_source_access,,,,
review-source-access-google-trends-dns-20260605-r4,2026-06-05T21:35:38+07:00,source_access_issue,amber,google_trends_rss_th,,,ควรแก้ Google Trends DNS access ก่อนรันใหม่หรือใช้ cached/manual import ในรอบถัดไปหรือไม่?,fix_source_access,,,,
