observation_id,signal_id,observed_at,views,likes,comments,shares,saves,search_rank,trend_rank,velocity_1h,velocity_6h,sentiment_th,comment_themes_th,raw_snapshot_json,observer_agent
obs-theactive-heavy-rain-20260604-r2,theactive-heavy-rain-20260603,2026-06-04T17:11:30+07:00,,,,,,,,,,cautious,repeat check keeps the 4-6 June heavy-rain warning live,"{""source_url"":""https://theactive.thaipbs.or.th/news/climate-change-20260603"",""published"":""2026-06-03"",""headline"":""เตือน 4-6 มิ.ย. รับมือฝนตกหนัก เสี่ยงท่วมฉับพลัน-น้ำป่าหลาก จับตาฝนทะลุ 100 มม."",""key_fact"":""weather warning still live on repeat recheck"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-prd-pride-month-20260604-r2,prd-pride-month-festivals-20260602,2026-06-04T17:11:30+07:00,,,,,,,,,,positive,repeat check keeps the official Pride month festival calendar visible,"{""source_url"":""https://thailand.prd.go.th/en/content/category/detail/id/2078/iid/508710"",""published"":""2026-06-02"",""headline"":""Pride Month Festivals 2026 in Thailand"",""key_fact"":""official calendar still shows June Pride events on repeat recheck"",""use_case"":""event comfort"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-heavy-rain-20260604-r3,tmd-heavy-rain-commute-20260604,2026-06-04T17:40:09+07:00,,,,,,,,,,cautious,repeat check still shows Bangkok thunderstorm risk and commute protection remains live,"{""source_url"":""https://www.tmd.go.th/en/weather/weatherthailand"",""published"":""2026-06-04"",""headline"":""กรมอุตุนิยมวิทยา | พยากรณ์อากาศทั่วประเทศ"",""key_fact"":""Bangkok and surrounding areas still carry thunderstorm risk on repeat recheck"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-southwest-coast-20260604,tmd-southwest-coast-heavy-rain-20260604,2026-06-04T17:40:09+07:00,,,,,,,,,,cautious,official south-west coast warning keeps dry-bag travel prep live,"{""source_url"":""https://www.tmd.go.th/en/warning-and-events/warning-storm/heavy-to-very-heavy-rains-in-thailand-strong-wind-waves-in-the-andaman-sea-no-11-89-2026"",""published"":""2026-06-01"",""headline"":""Heavy to very heavy rains in Thailand, Strong Wind-Waves in the Andaman Sea No. 11 (89/2026)"",""key_fact"":""very heavy rain possible in the South (west coast) region and travel-prep angle stays live"",""use_case"":""dry bag travel prep"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-heavy-rain-20260604-r4,tmd-heavy-rain-commute-20260604,2026-06-04T18:10:32+07:00,,,,,,,,,,cautious,repeat check still shows Bangkok thunderstorm risk and commute protection remains live,"{""source_url"":""https://www.tmd.go.th/en/weather/weatherthailand"",""published"":""2026-06-04"",""headline"":""กรมอุตุนิยมวิทยา | พยากรณ์อากาศทั่วประเทศ"",""key_fact"":""Bangkok and surrounding areas still carry thunderstorm risk on repeat recheck"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-southwest-coast-20260604-r2,tmd-southwest-coast-heavy-rain-20260604,2026-06-04T18:10:32+07:00,,,,,,,,,,cautious,repeat check keeps south-west coast travel prep live,"{""source_url"":""https://www.tmd.go.th/en/warning-and-events/warning-storm/heavy-to-very-heavy-rains-in-thailand-strong-wind-waves-in-the-andaman-sea-no-11-89-2026"",""published"":""2026-06-01"",""headline"":""Heavy to very heavy rains in Thailand, Strong Wind-Waves in the Andaman Sea No. 11 (89/2026)"",""key_fact"":""south-west coast rain warning remains live on repeat recheck"",""use_case"":""dry bag travel prep"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-heavy-rain-20260604-r5,tmd-heavy-rain-commute-20260604,2026-06-04T18:40:38+07:00,,,,,,,,,,cautious,latest TMD daily forecast keeps Bangkok/upper Thailand commute rain live,"{""source_url"":""https://www.tmd.go.th/weather/weatherthailand"",""published"":""2026-06-04"",""headline"":""กรมอุตุนิยมวิทยา | พยากรณ์อากาศทั่วประเทศ"",""key_fact"":""Thailand upper areas have increased rain with Bangkok and surrounding areas at 60% thunderstorms and some heavy rain; 18:00 bulletin adds heavier rain in west central/east/west south and 7-day outlook stays wet"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-southwest-coast-20260604-r3,tmd-southwest-coast-heavy-rain-20260604,2026-06-04T18:40:38+07:00,,,,,,,,,,cautious,latest TMD bulletin keeps south-west coast travel prep live,"{""source_url"":""https://www.tmd.go.th/weather/weatherthailand"",""published"":""2026-06-04"",""headline"":""กรมอุตุนิยมวิทยา | พยากรณ์อากาศทั่วประเทศ"",""key_fact"":""18:00 bulletin keeps heavy-rain and strong-wave cautions active for the Andaman side and south-west coast travel window"",""use_case"":""dry bag travel prep"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-shopee-rain-cover-budget-20260604-r2,shopee-rain-cover-budget-20260604,2026-06-04T18:40:38+07:00,,,,,,,,,,neutral,repeat check still shows low-price rain cover options for backpack and school use,"{""source_url"":""https://shopee.co.th/list/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2"",""published"":""2026-06-04"",""headline"":""ช้อป ถุงคลุมกระเป๋า ราคาสุดคุ้ม ได้ง่าย ๆ | Shopee Thailand"",""key_fact"":""list page still shows the rain cover backpack item at 12 baht and 29 baht with school/commute use"",""use_case"":""commute and school protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-heavy-rain-20260604-r6,tmd-heavy-rain-commute-20260604,2026-06-04T19:41:32+07:00,,,,,,,,,,cautious,repeat check keeps Bangkok thunderstorm risk and commute rain protection live,"{""source_url"":""https://www.tmd.go.th/weather/weatherthailand"",""published"":""2026-06-04"",""headline"":""กรมอุตุนิยมวิทยา | พยากรณ์อากาศทั่วประเทศ"",""key_fact"":""latest TMD forecast still keeps Bangkok and surrounding areas in thunderstorm risk on the evening recheck"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-heavy-rain-20260604-r7,tmd-heavy-rain-commute-20260604,2026-06-04T20:41:28+07:00,,,,,,,,,,cautious,evening repeat check keeps Bangkok thunderstorm risk and commute rain protection live,"{""source_url"":""https://www.tmd.go.th/weather/weatherthailand"",""published"":""2026-06-04"",""headline"":""กรมอุตุนิยมวิทยา | พยากรณ์อากาศทั่วประเทศ"",""key_fact"":""latest TMD forecast still keeps Bangkok and surrounding areas in thunderstorm risk on the evening recheck"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-shopee-phone-waterproof-pouch-category-20260604,shopee-phone-waterproof-pouch-category-20260604,2026-06-04T20:41:28+07:00,,,,,,,,,,neutral,category page still shows low-price phone waterproof pouch options and a sold-20k item,"{""source_url"":""https://shopee.co.th/%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B9%82%E0%B8%97%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%9E%E0%B8%97%E0%B9%8C/%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3"",""published"":""2026-06-04"",""headline"":""ช้อป กระเป๋าใส่โทรศัพท์ กันน้ำ ง่าย ๆ บน Shopee | มิ.ย. 2026"",""key_fact"":""category page shows low-price waterproof phone pouch options and a sold-20k item"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-southwest-coast-20260604-r4,tmd-southwest-coast-heavy-rain-20260604,2026-06-04T20:40:20+07:00,,,,,,,,,,cautious,repeat check keeps south-west coast travel prep live,"{""source_url"":""https://www.tmd.go.th/weather/weatherthailand"",""published"":""2026-06-04"",""headline"":""กรมอุตุนิยมวิทยา | พยากรณ์อากาศทั่วประเทศ"",""key_fact"":""evening forecast still keeps heavy rain and strong-wave caution active for the Andaman side and south-west coast travel window"",""use_case"":""dry bag travel prep"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-shopee-phone-waterproof-pouch-20260604-r2,shopee-phone-waterproof-pouch-20260604,2026-06-04T20:40:20+07:00,,,,,,,,,,neutral,repeat check still shows low-price phone pouch options for rainy commute,"{""source_url"":""https://shopee.co.th/list/%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%82%E0%B8%97%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%9E%E0%B8%97%E0%B9%8C/%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3"",""published"":""2026-06-04"",""headline"":""Shopee Thailand live list for waterproof phone pouch / phone protection"",""key_fact"":""public listing/search shell still supports the phone-pouch rain-protection angle with low-price positioning"",""use_case"":""phone protection for rain commute"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-heavy-rain-20260605-r4,tmd-heavy-rain-commute-20260605,2026-06-05T03:06:48+07:00,,,,,,,,,,cautious,official forecast still keeps Bangkok and vicinity thunderstorm risk live on the current recheck,"{""source_url"":""https://www.tmd.go.th/weather/weatherthailand"",""published"":""2026-06-05"",""headline"":""Thailand Weather Daily Weather Forecast"",""key_fact"":""live weather page still shows Bangkok and vicinity thunderstorm risk on the current recheck"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-southwest-coast-heavy-rain-20260605-r4,tmd-southwest-coast-heavy-rain-20260604,2026-06-05T03:06:48+07:00,,,,,,,,,,cautious,current TMD warning still keeps south-west coast travel prep live on the current recheck,"{""source_url"":""https://www.tmd.go.th/en/warning-and-events/warning-storm/heavy-to-very-heavy-rains-in-thailand-strong-wind-waves-in-the-andaman-sea-no-11-89-2026"",""published"":""2026-06-01"",""headline"":""Heavy to very heavy rains in Thailand, Strong Wind-Waves in the Andaman Sea No. 11 (89/2026)"",""key_fact"":""live advisory still supports travel-prep demand on the Andaman and south-west coast route"",""use_case"":""dry bag travel prep"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-shopee-phone-waterproof-pouch-budget-20260605-r3,shopee-phone-waterproof-pouch-budget-20260605,2026-06-05T03:06:48+07:00,,,,,,,,,,neutral,repeat check still shows the 99 baht phone-pouch floor for rainy commute,"{""source_url"":""https://shopee.co.th/-%E0%B8%A5%E0%B8%94%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B7%E0%B8%AD-99-Waterproof-Phone-Pouch-%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3-%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B%B7%E0%B8%AD-%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%97%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%9E%E0%B9%8C-%E0%B8%A5%E0%B9%87%E0%B8%ADก-3-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%96%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%AA%E0%B9%81%E0%B8%81%E0%B8%99%E0%B9%83%E0%B8%9A%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-i.1003025970.25543882447"",""published"":""2026-06-05"",""headline"":""[ลดเหลือ 99] Waterproof Phone Pouch ซองกันน้ำ ซองใส่มือถือ ซองโทรศัพท์ ล็อก 3 ชั้น ถ่ายรูปได้ สแกนใบหน้าได้"",""key_fact"":""public listing still shows visible 99 baht floor and commuter-friendly feature claims"",""use_case"":""phone protection for rain commute"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-shopee-backpack-rain-cover-20260605-r1,shopee-backpack-rain-cover-category-20260605,2026-06-05T03:06:48+07:00,,,,,,,,,,neutral,today search snippet still shows backpack rain-cover options with a live low-price floor,"{""source_url"":""https://shopee.co.th/list/%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%89%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1"",""published"":""2026-06-05"",""headline"":""ช้อป กระเป๋าเป้กันน้ำ ถุงคลุม ง่าย ๆ บน Shopee | มิ.ย. 2026"",""key_fact"":""search snippet shows backpack rain-cover options and a visible 42 baht floor"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-heavy-rain-20260605-r5,tmd-heavy-rain-commute-20260605,2026-06-05T10:01:59+07:00,,,,,,,,,,cautious,fresh web recheck still shows Bangkok thunderstorms and commute rain protection live,"{""source_url"":""https://www.tmd.go.th/weather/weatherthailand"",""published"":""2026-06-05"",""headline"":""Thailand Weather Daily Weather Forecast"",""key_fact"":""live weather page still shows Bangkok and vicinity thunderstorm risk on the current recheck"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-shopee-backpack-rain-cover-20260605-r2,shopee-backpack-rain-cover-category-20260605,2026-06-05T10:01:59+07:00,,,,,,,,,,neutral,fresh search recheck still shows backpack rain-cover options and the low-price floor,"{""source_url"":""https://shopee.co.th/list/%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%89%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1"",""published"":""2026-06-05"",""headline"":""ช้อป กระเป๋าเป้กันน้ำ ถุงคลุม ง่าย ๆ บน Shopee | มิ.ย. 2026"",""key_fact"":""search snippet still shows backpack rain-cover options around ฿42-99 with commute/school use"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-shopee-phone-waterproof-pouch-budget-20260605-r4,shopee-phone-waterproof-pouch-budget-20260605,2026-06-05T10:01:59+07:00,,,,,,,,,,neutral,fresh search recheck still shows the 99 baht phone-pouch floor for rainy commute,"{""source_url"":""https://shopee.co.th/-%E0%B8%A5%E0%B8%94%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B7%E0%B8%AD-99-Waterproof-Phone-Pouch-%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3-%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%96%E0%B8%B7%E0%B8%AD-%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%97%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%9E%E0%B9%8C-%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%81-3-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%96%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%AA%E0%B9%81%E0%B8%81%E0%B8%99%E0%B9%83%E0%B8%9A%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%94%E0%B9%89-i.1003025970.25543882447"",""published"":""2026-06-05"",""headline"":""[ลดเหลือ 99] Waterproof Phone Pouch ซองกันน้ำ ซองใส่มือถือ ซองโทรศัพท์ ล็อก 3 ชั้น ถ่ายรูปได้ สแกนใบหน้าได้"",""key_fact"":""public listing still shows visible 99 baht floor and commuter-friendly feature claims"",""use_case"":""phone protection for rain commute"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-heavy-rain-20260605-r6,tmd-heavy-rain-commute-20260605,2026-06-05T11:03:22+07:00,,,,,,,,,,cautious,fresh web recheck still shows Bangkok thunderstorms and commute rain protection live,"{""source_url"":""https://www.tmd.go.th/weather/weatherthailand"",""published"":""2026-06-05"",""headline"":""Thailand Weather Daily Weather Forecast"",""key_fact"":""live weather page still shows Bangkok and vicinity thunderstorm risk on the current recheck"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-shopee-backpack-rain-cover-20260605-r3,shopee-backpack-rain-cover-category-20260605,2026-06-05T11:03:22+07:00,,,,,,,,,,neutral,fresh search recheck still shows backpack rain-cover options and the low-price floor,"{""source_url"":""https://shopee.co.th/list/%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%8B%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%89%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1"",""published"":""2026-06-05"",""headline"":""Shopee Thailand backpack rain-cover category search"",""key_fact"":""search snippet still shows backpack rain-cover options around ฿42-99 with commute/school use"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
